ENTIDAD,Ordenada
Aguascalientes,0
Baja California,9.294
Baja California Sur,-9.012
Campeche,-11.65
Coahuila,27.71
Colima,11.5
Chiapas,23.61
Chihuahua,-1.355
Mexico City,17.38
Durango,13.74
Guanajuato,22.54
Guerrero,19.59
Hidalgo,7.067
Jalisco,10.71
Mexico,24.19
Michoacán,5.271
Morelos,5.69
Nayarit,23.82
Nuevo León,22.93
Oaxaca,12.56
Puebla,14.78
Querétaro,-7.676
Quintana Roo,-2.788
San Luis Potosi,2.473
Sinaloa,1.582
Sonora,5.221
Tabasco,12.28
Tamaulipas,11.92
Tlaxcala,1.395
Veracruz,20.4
Yucatán,1.741
Zacatecas,2.878
