================================================,,
,Modelo inicial,Modelo final
Constante, 8.5675*,10.2863**
,(-4.9138),(-3.866)
ln(Días desde 10 muertes),-7.5892, -9.5134**
,(-4.823),(-3.8257)
ln(Días desde 10 muertes)^2,0.2097, 0.2599**
,(-0.1266),(-0.0995)
ln(Camas),0.0777,
,(-0.1577),
ln(Densidad),0.0223,
,(-0.0274),
ln(Edad),0.5111,
,(-0.5772),
ln(Escolaridad),0.3411,
,(-0.3921),
ln(PIB per cápita), -0.9604*,-0.506***
,(-0.55),(-0.1593)
Pob. urbana,,
,(-0.0875),
Pobreza,0.0303,
,(-0.1219),
Sin salud,-0.0629,
,(-0.3354),
Informalidad,-0.0639,
,(-0.128),
Turismo,0.1366,
,(-0.1369),
================================================,,
Standard errors in parentheses.,,
* p<.1, ** p<.05, ***p<.01
